Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.892276993,4.892658575,4.956423171,4.9998659,4.930533994,4.770873316,4.913124555,7.367218238,5.106383948,4.807692871,3.959442092,10.21829871,5.351874273,13.55999616,3.592820475,-0.034006186,6.496595744,7.920797204,7.517015518,15.16653087,1.29063344,-0.283154178,-2.106015231,1.957944359,1.066854714,4.574247496,11.21578844,9.237592471,13.09084029,10.62857555,10.49704514,12.03575736,6.276565634,0.157937823,0.643967584,1.428722652,3.545183788,3.740955126,8.780368083,13.03876739,5.015663395,5.118559327,9.329244616,4.648090814,2.971324708,4.697440177,1.195082317,3.881378107,0.293870697,3.850983675,1.330108827,4.017501989,0.68833652,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.868600264,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.07998367,5.570224684,6.420701221,4.794559731,5.62501857,6.497295789,6.908867793,-12.16902788,3.096013144,-0.494821089,5.063336435,7.967485213,5.739161523,2.939567816,7.311017727,4.614567486,4.971215655,2.052694572,0.133344044,-1.371772908,0.275616374,-3.938737928,-4.0421214,-0.200671851,-1.676387517,-2.573877379,2.463479559,2.909505435,3.790128399,4.635787902,5.266522073,1.646500041,4.269295333,4.667266268,4.678276905,4.361340311,4.954208776,5.029354636,0.426885364,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008739,4.564384483,6.14849781,3.35699943,4.126722747,5.173930422,5.176430946,6.775601009,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.27591158,5.216059385,0.874672609,3.485582301,3.053487905,4.150360219,4.915265688,11.42728239,9.735826862,8.769947471,11.29508684,12.05280227,13.97869164,9.042120308,5.209075902,9.790410162,4.606318063,3.231709573,6.766284961,9.110960152,-4.393357194,0.580245554,-3.40979348,5.269143156,7.945861746,7.988295109,3.599629457,-0.10267271,3.279458852,-4.3,1.512067461,-0.466914924,4.665150948,5.334359877,4.416831993,2.15,3.374938815,0.035512204,0.255597103,4.305745715,1.314896121,2.655974267,1.146749064,5.713916916,3.156352388,3.955415269,6.095454977,5.169299014,-0.32824804,7.533615453,2.732509243,1.031803648,2.492011803,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.696529798,9.060758599,-5.078421075,5.004875747,11.4348435,4.00337126,10.63613614,6.921821318,7.518404794,9.509402995,3.912722436,1.273800672,1.340700424,-4.650841244,4.005149295,-0.082528397,4.377159725,6.132133198,7.666497018,4.73168673,-3.206614983,-5.009107468,0.17977373,3.361642173,0.509259259,9.431141409,1.020726894,6.25,5.039215686,-4.806791861,-2.912053247,-4.978795395,0.988418782,3.974816249,1.490133032,1.834015519,6.394727115,4.11236353,2.592656313,2.3,-2.550184351,0.672622176,1.973066082,1.433251433,3.996770287,5.706521739,1.670951157,0.343146108,-4.139668826,0.253473526,0.758497987,0.00929368,,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,0.355463823,20.15539305,10.91669836,6.775834476,22.56242807,-6.996702553,-19.82671582,3.95665544,0.501464954,0.599876661,-1.490748997,-2.715469691,2.009129765,1.097366321,-1.074177451,1.089420416,3.145941252,4.758580079,0.304573971,3.145396702,4.478707096,2.878318295,-1.471171731,-0.558508393,3.052156067,2.84942187,2.744041404,3.872097238,2.903955035,0.504317943,0.38750691,4.397720432,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,13.90772856,3.413942152,11.31071267,4.482105875,4.211773999,11.730578,28.69626499,4.98728977,7.43262602,10.87643422,-0.407876048,4.60089174,1.986366912,4.951503165,7.074117383,5.565172706,5.373838635,5.914030812,7.98397233,6.933024023,8.203773885,10.72784086,7.664333953,5.896408047,7.122559851,6.849365814,17.92582502,4.768354169,6.657223796,11.73085436,8.554492551,4.620016905,4.981880758,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.343279638,6.666668754,5.921048191,6.832297147,5.81395647,6.344015676,5.924563067,10.56705697,15.12340198,17.12026819,25.82110974,26.36193986,21.30318256,8.797796637,8.446249342,10.64737719,12.01204026,14.33280148,12.14858885,11.98690135,9.064857594,12.16553166,13.14672945,8.545383486,7.12527126,8.172924066,11.88192812,19.4499696,13.05940607,6.772822009,7.458708767,2.917070335,1.916107351,3.627915946,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894763,2.705821672,4.556645672,7.959531191,8.682340647,3.901466752,-7.84100195,8.594135556,6.182878224,4.256806574,5.897276144,
Sub-Saharan Africa (IFC classification),CAA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.953452742,-3.713640129,-0.707243874,2.080361136,0.947568972,0.644999279,4.676514621,1.404196747,7.091406507,2.332966044,1.130127023,-0.000782878,1.888768908,6.339140562,0.405003868,5.432442637,3.806281066,1.209223472,-2.465071271,-4.47859983,-1.544507459,7.715724617,-8.126447755,9.481555061,3.927278814,3.577966826,-4.939033173,1.710272957,1.977314589,-2.147642437,-0.552426922,-6.424094388,0.335145801,4.899999089,7.200002317,-4.000001351,5.300002639,4.699993861,3.600002936,-2.489450099,4.464782641,3.616488017,-5.397469235,5.994991722,0.908086102,7.600338264,8.122803427,3.892082265,8.907131878,6.635415455,3.299960767,4.099973792,-35.99996656,
